binary,bins,shape,algo,gibps_median,exit_ok,direct_ran,runs
multi_even,65536,stale_resident,direct_cuckoo,430.41,1,1,430.4;430.6;430.4
multi_even,65536,concentrated:0.0,direct_single_probe,2229.30,1,1,2228.7;2229.3;2230.7
multi_even,65536,hash_synonym,direct_single_probe,741.07,1,1,741.1;740.7;741.1
multi_even,65536,powerlaw:0.5,direct_single_probe,583.53,1,1,583.4;583.5;583.6
multi_even,65536,stale_resident,direct_single_probe,455.57,1,1,455.6;455.5;455.6
multi_even,65536,concentrated:0.0,gmem_privatized_cuckoo,1655.92,1,1,1655.9;1655.1;1656.0
multi_even,65536,hash_synonym,gmem_privatized_cuckoo,659.86,1,1,660.3;659.9;659.7
multi_even,65536,powerlaw:0.5,gmem_privatized_cuckoo,520.08,1,1,519.8;520.1;520.1
multi_even,65536,stale_resident,gmem_privatized_cuckoo,415.48,1,1,414.8;415.8;415.5
multi_even,65536,concentrated:0.0,gmem_privatized_single_probe,1641.95,1,1,1643.1;1642.0;1641.1
multi_even,65536,hash_synonym,gmem_privatized_single_probe,660.72,1,1,660.7;660.8;660.7
multi_even,65536,powerlaw:0.5,gmem_privatized_single_probe,538.41,1,1,538.2;538.4;538.4
multi_even,65536,stale_resident,gmem_privatized_single_probe,424.80,1,1,424.8;424.6;424.8
multi_even,262144,concentrated:0.0,default,2232.69,1,1,2234.0;2232.2;2232.7
multi_even,262144,hash_synonym,default,596.31,1,1,596.3;596.4;596.3
multi_even,262144,powerlaw:0.5,default,303.41,1,1,303.3;303.4;303.5
multi_even,262144,stale_resident,default,456.99,1,1,457.0;456.9;457.0
multi_even,262144,concentrated:0.0,gmem_privatized_nocache,1298.29,1,1,1297.7;1298.3;1298.8
multi_even,262144,hash_synonym,gmem_privatized_nocache,387.87,1,1,387.9;388.0;387.7
multi_even,262144,powerlaw:0.5,gmem_privatized_nocache,372.20,1,1,372.2;372.2;372.1
multi_even,262144,stale_resident,gmem_privatized_nocache,395.56,1,1,395.6;395.5;395.7
multi_even,262144,concentrated:0.0,direct_cuckoo,2232.89,1,1,2233.7;2232.3;2232.9
multi_even,262144,hash_synonym,direct_cuckoo,596.35,1,1,596.4;596.3;596.5
multi_even,262144,powerlaw:0.5,direct_cuckoo,303.47,1,1,303.7;302.8;303.5
multi_even,262144,stale_resident,direct_cuckoo,457.02,1,1,456.9;457.0;457.1
multi_even,262144,concentrated:0.0,direct_single_probe,2233.37,1,1,2231.7;2233.4;2234.0
multi_even,262144,hash_synonym,direct_single_probe,596.42,1,1,596.5;596.4;596.3
multi_even,262144,powerlaw:0.5,direct_single_probe,303.46,1,1,303.5;303.0;303.7
multi_even,262144,stale_resident,direct_single_probe,456.94,1,1,457.1;456.9;456.9
multi_even,262144,concentrated:0.0,gmem_privatized_cuckoo,1198.88,1,1,1198.9;1198.0;1199.6
multi_even,262144,hash_synonym,gmem_privatized_cuckoo,475.63,1,1,475.0;475.9;475.6
multi_even,262144,powerlaw:0.5,gmem_privatized_cuckoo,435.83,1,1,435.9;435.8;435.7
multi_even,262144,stale_resident,gmem_privatized_cuckoo,379.65,1,1,379.9;379.6;379.4
multi_even,262144,concentrated:0.0,gmem_privatized_single_probe,1193.05,1,1,1193.1;1193.1;1192.8
multi_even,262144,hash_synonym,gmem_privatized_single_probe,475.53,1,1,475.8;475.4;475.5
multi_even,262144,powerlaw:0.5,gmem_privatized_single_probe,453.42,1,1,453.5;453.4;453.4
multi_even,262144,stale_resident,gmem_privatized_single_probe,387.76,1,1,387.6;387.9;387.8
multi_even,1048576,concentrated:0.0,default,2253.23,1,1,2253.2;2251.5;2253.7
multi_even,1048576,hash_synonym,default,602.78,1,1,602.9;602.8;602.7
multi_even,1048576,powerlaw:0.5,default,371.09,1,1,371.1;371.5;370.6
multi_even,1048576,stale_resident,default,461.72,1,1,461.6;461.8;461.7
multi_even,1048576,concentrated:0.0,gmem_privatized_nocache,475.51,1,1,474.8;475.5;475.7
multi_even,1048576,hash_synonym,gmem_privatized_nocache,241.07,1,1,241.1;241.1;241.2
multi_even,1048576,powerlaw:0.5,gmem_privatized_nocache,203.47,1,1,203.7;202.6;203.5
multi_even,1048576,stale_resident,gmem_privatized_nocache,283.96,1,1,284.0;284.5;283.9
multi_even,1048576,concentrated:0.0,direct_cuckoo,2250.77,1,1,2250.8;2250.4;2251.3
multi_even,1048576,hash_synonym,direct_cuckoo,602.90,1,1,603.0;602.9;602.9
multi_even,1048576,powerlaw:0.5,direct_cuckoo,371.05,1,1,370.5;371.1;371.6
multi_even,1048576,stale_resident,direct_cuckoo,461.78,1,1,461.8;461.8;461.8
multi_even,1048576,concentrated:0.0,direct_single_probe,2252.42,1,1,2252.4;2253.2;2251.9
multi_even,1048576,hash_synonym,direct_single_probe,602.83,1,1,602.8;602.9;602.8
multi_even,1048576,powerlaw:0.5,direct_single_probe,370.93,1,1,370.5;370.9;371.2
multi_even,1048576,stale_resident,direct_single_probe,461.74,1,1,461.8;461.7;461.7
multi_even,1048576,concentrated:0.0,gmem_privatized_cuckoo,467.55,1,1,467.6;467.6;467.0
multi_even,1048576,hash_synonym,gmem_privatized_cuckoo,292.84,1,1,292.9;292.4;292.8
multi_even,1048576,powerlaw:0.5,gmem_privatized_cuckoo,226.97,1,1,227.1;227.0;226.8
multi_even,1048576,stale_resident,gmem_privatized_cuckoo,255.12,1,1,255.1;255.1;255.4
multi_even,1048576,concentrated:0.0,gmem_privatized_single_probe,466.87,1,1,466.9;467.6;466.8
multi_even,1048576,hash_synonym,gmem_privatized_single_probe,292.85,1,1,292.6;292.8;293.0
multi_even,1048576,powerlaw:0.5,gmem_privatized_single_probe,224.96,1,1,225.1;225.0;224.9
multi_even,1048576,stale_resident,gmem_privatized_single_probe,258.51,1,1,258.7;258.5;258.5
multi_range,65536,concentrated:0.0,default,1329.96,1,1,1331.0;1330.0;1329.7
multi_range,65536,hash_synonym,default,621.03,1,1,620.7;621.0;621.5
multi_range,65536,powerlaw:0.5,default,523.70,1,1,523.7;523.8;523.5
multi_range,65536,stale_resident,default,414.54,1,1,414.5;414.7;414.5
multi_range,65536,concentrated:0.0,gmem_privatized_nocache,318.56,1,1,318.5;318.6;318.6
multi_range,65536,hash_synonym,gmem_privatized_nocache,223.24,1,1,222.9;223.5;223.2
multi_range,65536,powerlaw:0.5,gmem_privatized_nocache,278.58,1,1,278.6;278.1;278.6
multi_range,65536,stale_resident,gmem_privatized_nocache,134.96,1,1,134.9;135.0;135.0
